Org No,Name,Desc,Url,Technologies,Topics,My Score,Org Score,Score,Org link,Guidance link
68,PostgreSQL,The Most Advanced Open Source Relational Database,https://summerofcode.withgoogle.com/programs/2023/organizations/postgresql,"javascript, python, sql, c","web, database",41.66666666666667,60.0,50.833333333333336,https://postgresql.org,https://wiki.postgresql.org/wiki/GSoC
163,Submitty,Homework Autograding and Course Management Tools,https://summerofcode.withgoogle.com/programs/2023/organizations/submitty,"javascript, python, php, c++","education, web",41.66666666666667,60.0,50.833333333333336,https://submitty.org,https://submitty.org/developer/google_summer_of_code
3,Creative Commons,Nonprofit building a global digital commons.,https://summerofcode.withgoogle.com/programs/2023/organizations/creative-commons,"css, javascript, python, php",web,41.66666666666667,50.0,45.833333333333336,https://opensource.creativecommons.org/,https://opensource.creativecommons.org/programs/applicant-guide/
109,Plone Foundation,"Python-based CMS, with React front-end.",https://summerofcode.withgoogle.com/programs/2023/organizations/plone-foundation,"javascript, python",web,20.833333333333336,58.333333333333336,39.583333333333336,https://plone.org,nan
167,Python Software Foundation,A programming language used for science & more,https://summerofcode.withgoogle.com/programs/2023/organizations/python-software-foundation,"javascript, python, c++",security,31.25,47.5,39.375,https://python-gsoc.org/,https://python-gsoc.org/index.html#gettingstarted
53,Chromium,"Fast, seamless, safe, and reliable web for all",https://summerofcode.withgoogle.com/programs/2023/organizations/chromium-lj,"javascript, python, c++",web,31.25,46.66666666666667,38.958333333333336,https://chromium.org,https://docs.google.com/document/d/1IOj4hSdPl8h1-8zYK_Gt3OxA0R44SLbmr-ZH3f9yDXM/edit?usp=sharing
6,Gentoo Foundation,"A flexible, source-based Linux distribution.",https://summerofcode.withgoogle.com/programs/2023/organizations/gentoo-foundation,"python, c, linux",security,31.25,40.0,35.625,https://www.gentoo.org/,https://wiki.gentoo.org/wiki/Google_Summer_of_Code/2023/Application_Guidelines
130,Society for Arts and Technology (SAT),Create teleimmersive multisensorial experiences.,https://summerofcode.withgoogle.com/programs/2023/organizations/society-for-arts-and-technology-sat,"javascript, python, c++",web,31.25,40.0,35.625,https://sat.qc.ca,https://sat-mtl.gitlab.io/collaborations/google-summer-of-code/posts/2023-share/
46,Drupal Association,The best open source digital experience platform,https://summerofcode.withgoogle.com/programs/2023/organizations/drupal-association,"html, javascript, php",web,31.25,40.0,35.625,https://drupal.org,https://www.drupal.org/community/contributor-guide/reference-information/google-summer-of-code/for-gsoc-students-where-to
8,Cockpit Project,Cockpit is an interactive server admin interface,https://summerofcode.withgoogle.com/programs/2023/organizations/cockpit-project,"javascript, python",web,20.833333333333336,50.0,35.41666666666667,https://cockpit-project.org/,https://github.com/cockpit-project/cockpit/wiki/GSoC-2023-topics
